country_name,country_code,year,"Agriculture, forestry, and fishing, value added (current US$)",Arable land (hectares per person),Average precipitation in depth (mm per year),Cereal production (metric tons),Cereal yield (kg per hectare),Crop production index (2014-2016 = 100),Employment in agriculture (% of total employment) (modeled ILO estimate),Fertilizer consumption (kilograms per hectare of arable land)
Ethiopia,ETH,1988-01-01,5300985024.15459,0.251410930599825,848.0,6136960.0,1214.1,28.110000000000007,77.70823317531635,10.55053319919515
Ethiopia,ETH,1989-01-01,5553624347.826089,0.237577891219404,848.0,5733573.0,1172.2,28.110000000000007,77.70823317531635,10.55053319919515
Ethiopia,ETH,1990-01-01,6025641980.676331,0.225794062582343,848.0,6137530.0,1238.1,28.110000000000007,77.70823317531635,10.55053319919515
Ethiopia,ETH,1991-01-01,7898721400.96618,0.214211589317644,848.0,5810665.0,1307.5,28.110000000000007,77.4934944468963,10.55053319919515
Ethiopia,ETH,1992-01-01,6697817698.4835,0.205385350455002,848.0,5034885.0,1155.8,25.92,77.9229719037364,9.639744260974652
Ethiopia,ETH,1993-01-01,5293597069.08257,0.186188912372069,848.0,5304825.0,1313.0,25.730000000000004,77.3560154944398,7.59
Ethiopia,ETH,1994-01-01,3650991925.0254993,0.17859612798128,848.0,5254031.58,974.3999999999999,26.11,77.2254500990135,11.6894885219493
Ethiopia,ETH,1995-01-01,3979501295.33679,0.172757393090938,848.0,6751322.0,1033.5,30.489999999999995,76.9314505015221,13.5110663983903
Ethiopia,ETH,1996-01-01,4373584856.686131,0.16693113825697,848.0,9388992.55,1213.6,36.45,76.2088318203905,17.8854638863705
Ethiopia,ETH,1997-01-01,4640676242.07438,0.161225866380985,848.0,9484807.0,1263.9,36.53,76.110831384169,13.3062626262626
Ethiopia,ETH,1998-01-01,3835760824.18861,0.156099272508896,848.0,7210329.0,1140.9,32.46,76.5943724884556,16.5869982812658
Ethiopia,ETH,1999-01-01,3502759775.792511,0.151144418392347,848.0,8392918.0,1124.6,35.2,76.3554136467229,16.9898795668455
Ethiopia,ETH,2000-01-01,3681529359.6994305,0.146443869052954,848.0,8019830.0,1116.3,36.45,76.6413738169457,15.952188006483
Ethiopia,ETH,2001-01-01,3485190446.4564495,0.141924271499779,848.0,9585753.0,1198.0,38.81,76.6626855394255,13.6800851754208
Ethiopia,ETH,2002-01-01,3037664391.8199196,0.137543503734328,848.0,9000335.0,1353.7,37.74,77.3664302174695,17.0124835075612
Ethiopia,ETH,2003-01-01,3215348079.948719,0.148010373132552,848.0,9532780.0,1123.3,39.19,78.4252219607689,5.7023243045388
Ethiopia,ETH,2004-01-01,3918718405.9400196,0.162519112492118,848.0,10140082.0,1162.6,42.64,77.9527250136481,10.3092850210288
Ethiopia,ETH,2005-01-01,5106106985.99103,0.163626565971825,848.0,12749986.0,1361.4,50.66,78.120764905272,10.9025189113312
Ethiopia,ETH,2006-01-01,6498059682.75179,0.165990343168554,848.0,12672350.0,1563.3,51.31,77.3495869160229,11.1310092564945
Ethiopia,ETH,2007-01-01,8329426631.7944,0.168922461810353,848.0,13252798.06,1441.0,56.26,76.4666860257669,16.0398917224676
Ethiopia,ETH,2008-01-01,12230064939.4202,0.159053268559866,848.0,14014121.48,1418.4,57.76,75.6199660502667,17.2002057915625
Ethiopia,ETH,2009-01-01,14883148075.6311,0.15848624771605,848.0,16457164.46,1647.1,65.63,74.9166377143476,17.66231717809
Ethiopia,ETH,2010-01-01,12406604219.9984,0.160870764899013,848.0,18380017.41,1767.3,72.55,73.7899642667841,21.847099210436
Ethiopia,ETH,2011-01-01,13180503225.8064,0.16310472241698,848.0,19269598.3,1876.6,76.5,72.7920313901512,20.8190506279125
Ethiopia,ETH,2012-01-01,19200051115.6187,0.160189953175493,848.0,20322264.7,1963.3,80.55,72.0400276628576,30.5863488857031
Ethiopia,ETH,2013-01-01,19649913667.4238,0.157163716959391,848.0,22338783.3,2102.0,88.89,71.0336381553392,18.2591564863293
Ethiopia,ETH,2014-01-01,21422080397.5843,0.154239291045171,848.0,24215411.4,2235.1,95.98,70.0355915719453,25.3595344960246
Ethiopia,ETH,2015-01-01,23288958300.4281,0.151356827161931,848.0,25837227.61,2344.9,100.99,68.9667358758736,28.1125539087844
Ethiopia,ETH,2016-01-01,25780138164.4457,0.148484566291537,848.0,26587343.15,2352.2,103.03,67.9900618506632,33.7883087214439
Ethiopia,ETH,2017-01-01,27621617366.256,0.145616052000428,848.0,28763752.200000003,2539.4,106.37,66.9130681972216,34.5145862034416
